question,option 1,option 2,option 3,option 4,option 5,answer,explanation,
"In general, the body cells most susceptible to damage by radiation are those found in:",rigid or semi rigid tissues,muscle tissues,rapidly dividing tissues,highly specialized tissues,nerve tissues,2,"As stated by the the Law of Bergonie and Tribondeau (based on an early observation about the difference in radiosensitivity of cells in rats’ testes) “the radiosensitivity of a tissue is directly proportional to the reproductive activity and inversely proportional to the degree of differentiation,” and “tissues consisting of rapidly dividing stem cells are quite sensitive to radiation whereas cells that do not divide or only rarely divide are considerably more resistant.”",
"In a picocurie of any radioactive substance, the disintegration rate is:",2.22 dpm,2.22 x 10 E 6 dpm,"37,000,000 dpm",3.7 x 10 E 4 dps,3.7 x 10 E 10 dps,0,,
Which of the following radionuclides cannot be detected by gamma spectrometry pulse height analysis?,Hydrogen-3,Iodine-131,Cerium-144,Ruthenium-106,Cesium-137,0,"Hydrogen-3 (tritium) is a pure beta (β-) emitter with a half-life of 12.3 years and a maximum energy of 18.6 keV.  Beta particles have an average energy of about one third of their maximum energy, in this case 6.2 keV. The only way to detect hydrogen-3 is to swipe (100 cm2  for surveys and 300 cm2  for transportation) and count in a liquid scintillation counter (LSC).",
"The elemental symbols for Boron, Beryllium, Cadmium, and Calcium are:","Bo, B, Ca, C","B, By, Cd, Ca","Bo, Be, Cd, Ca","B, Be, Cd, Ca","B, Br, Ca, Cl",3,,
Which of the following radionuclides is most suited to in-vivo measurements?,Hydrogen-3,Carbon-14,Strontium-90,Iodine-131,Plutonium-239,3,"“in vivo” means “performed or taking place in a living organism.” As weak pure beta (β-) emitters, hydrogen-3 and carbon-14 can only be seen through liquid scintillation analysis of urine (outside of the body).  Strontinum-90 is also a pure beta emitter (fecal-analysis or urinalysis).
Plutonium-239 has a very weak x-ray which is shielded by the body (lung lavage has been used in the past).  Iodine-131 (a mixed β-/γ emitter) can be seen with a sodium-iodine probe held to the body (usually measuring on the thyroid).",
How long must a sample with a count rate of 300 cpm be counted to give a total count rate standard deviation of 1%?,3.5 min,17 min,30 min,33 min,65 min,3,,
At what radius would you post a radiation area around an 8 curie Cesium 137 (662 Kev photon energy and a photon yield of 0.85 photons/disintegration) point source?,10 feet,74 feet,145 feet,53 feet,101 feet,1,,
An air filter with a collection efficiency of 99.97% is being used in a decontamination effort. Calculate the decontamination factor for this filter.,9997,0.9997,3000,"10,000",3333,4,1/0.0003 =3333 𝑑𝑒𝑐𝑜𝑛𝑡𝑎𝑚𝑖𝑛𝑎𝑡𝑖𝑜𝑛 𝑓𝑎𝑐𝑡𝑜𝑟,
"During an emergency in a DOE regulated facility, with known or potential high radiation fields, exposure to personnel must be voluntary if it is anticipated that such exposure may exceed a whole body exposure of:",5 rem,10 rem,25 rem,75 rem,100 rem,0,5 rem is the DOE (and NRC) annual dose limit for normal work. Therefore if an emergency were happening they would ask for volunteers for the emergency (not normal) work.  The distractions are 10 rem (EPA limit for emergencies) and 25 rem (EPA limit for lifesaving).,
"A worker is to perform maintenance on a reactor coolant pump under the following radiological conditions: dose rate on contact with the pump is 350 mrem/hr, dose rate at 30 cm from the pump (working area dose rate) is 85 mrem/hr, and there is an airborne concentration of 0.45 DAC.  She will spend a maximum of 14 hours in this area during the week. According to 10CFR20, how is this area to be posted?","Danger High Radiation Area, Airborne Radioactivity Area","Caution Radiation Area, Airborne Radioactivity Area","Caution High Radiation Area, Airborne Radioactivity Area",Caution Airborne Radioactivity Area,Caution Radiation Area,4,"Airborne Radioactivity Area:  A room, enclosure, or area in which airborne radioactive materials, composed wholly or partially of licensed material, exist in concentrations that (1) exceed the derived air concentration limits (DACs), or (2) would result in an individual present in the area without respiratory protection exceeding, during those hours, 0.6 percent of the annual limit on intake (ALI) or 12 DAC-hours. Radiation area:  Any area with radiation levels greater than 5 mrem in one hour at 30 cm from the source or from any surface through which the radiation penetrates. High Radiation Area: Any area with dose rates greater than 100 mrem in one hour 30 cm from the source or from any surface through which the ionizing radiation penetrates.",
"For an exclusive use vehicle that is transporting radioactive materials, radiation levels on contact with any external surface of the vehicle must not exceed:",0.01 mSv/hour,0.02 mSv/hour,0.1 mSv/hour,2.0 mSv/hour,10.00 mSv/hour,3,,
Two categories of ionization are:,alpha and beta,direct and indirect,microwave and infrared,charged and uncharged,molecular and atomic,1,,
Intrinsic efficiency of a detector expresses the:,probability that a count will be recorded if radiation enters the sensitive volume.,ability of an instrument to count different energies.,percent of gamma energy producing ion pairs.,total detector counts minus the background.,total beta/gamma counts by a tissue equivalent detector,0,Efficiency is what the detector reads (cpm) divided by what the detector could see (dpm).  The only answer that covers probability is A.,
The antiparticle of a positron is a:,proton,neutrino,electron,meson,neutron,2,"A positron (β+) is a positive beta particle (β-).  A beta particle is the same as an electron, therefore an anti-positron would be a beta particle, or electron.",
Forms of the same chemical element that contain different numbers of neutrons are called:,isobars,isomers,radionuclides,isotones,isotopes,4,,
"An atom of a radionuclide that has a low neutron to proton ratio, and an atomic rest mass energy that is 1.02 MeV greater than the product atom’s rest mass energy may decay by which of the following?",Either positron emission or electron capture,Annihilation,Beta minus emission,Isomeric transition,Internal conversion,0,,
Which radioactive decay series includes Ra-226 as one of its decay products?,Thorium,Uranium,Actinium,Neptunium,Polonium,1,,
"An individual who receives an acute, whole body radiation exposure (DDE) of approximately 8 Gy will likely suffer symptoms of up to which level of the Acute Radiation Syndrome?",Subclinical,Hemopoietic,Gastrointestinal,Central Nervous System,Not enough exposure to classify,2,,
The term “isokinetic sampling” refers to the procedure of using sampling velocity that is exactly equal to the:,velocity of the gas stream at the point of sampling,velocity at the center of the main gas stream corrected for temperature and pressure,velocity at the center of the main gas stream,velocity of the gas stream adjacent to the duct wall,average velocity of the main gas stream,0,,
In which of the following radioactive decays will the daughter product be an isobar of the parent?,alpha decay,gamma decay,neutron decay (elastic scatter),positron decay,neutron decay (inelastic scatter),3,,
The respiratory protection device of choice for entry into an atmosphere immediately dangerous to life and health is a (an):,supplied air hood,air-purifying respirator equipped with a high efficiency filter,"air-purifying respirator, full face piece, equipped with organic vapor canister",self-contained breathing apparatus equipped with a pressure demand regulator,self-contained breathing apparatus equipped with a demand type regulator,3,,
"The average distance of travel in a medium between interactions, describes a photon’s:",mass energy absorption coefficient,mean free path,linear attenuation coefficient,Compton cross section,linear energy transfer,1,,
The Bragg-Gray principal is based upon the relationship of:,secondary charged particle equilibrium requirements and the thickness of the wall material of the chamber.,ionization in an air-filled ionization chamber to the dose in air,ionization of the gas in an ionization chamber to the dose in the wall material,ionization in a gas-filled ionization chamber to the dose in the gas,scatter of low energy photons to the probability of ionization in the chamber,2,,
"Given a gamma-energy value of 0.662 Mev, and a photon yield of
0.85 per decay, the exposure rate at 2 yards from an unshielded 10 mCi Cs-137 point source is:",1.1 R/hr,0.55 R/hr,5.50 R/hr,0.55 mR/hr,0.94 mR/hr,4,,
"A radionuclide has a decay constant of 0.1314 years-1, a gamma energy (per disintegration) of 2.50 MeV, and will produce a dose rate of approximately 30 R/hour at one foot from a 2 Curie source. Calculate the radiological half-life of this nuclide:",5.27 years,229 years,3.93 years,30.1 years,0.0231 years,0,,
